edge_id,node_start,node_end,lane_num,speed,length,priority
0,0,4821,1,11.18,8.96,11
1,1,0,1,11.18,23.0,11
2,2,1,1,11.18,34.47,11
3,3,2,1,11.18,5.97,11
4,4,4928,1,11.18,5.96,12
5,5,4,1,11.18,22.43,12
6,6,122,1,8.94,7.18,11
7,7,6,1,8.94,62.9,11
8,8,7,1,8.94,7.22,11
9,9,127,1,8.94,7.52,11
10,10,9,1,8.94,60.37,11
11,11,10,1,8.94,7.68,11
12,12,11,1,8.94,6.76,11
13,13,12,1,8.94,65.79,11
14,14,13,1,8.94,8.13,11
15,15,1053,1,22.22,9.76,10
16,16,4583,2,11.18,30.3,4
17,17,16,2,11.18,9.92,4
18,18,3779,1,22.22,6.64,10
19,19,18,1,22.22,65.86,10
20,20,36,1,22.22,8.07,10
21,21,20,1,22.22,78.21,10
22,22,21,1,22.22,84.65,10
23,23,22,1,22.22,79.12,10
24,24,23,1,22.22,79.13,10
25,25,24,1,22.22,79.49,10
26,26,25,1,22.22,79.07,10
27,27,26,1,22.22,78.2,10
28,28,27,1,22.22,8.81,10
29,29,19,1,22.22,7.4,10
30,30,29,1,22.22,8.45,10
31,31,30,1,22.22,64.4,10
32,32,31,1,22.22,6.48,10
33,33,32,1,22.22,8.29,10
34,34,33,1,22.22,71.81,10
35,35,34,1,22.22,71.92,10
36,36,35,1,22.22,6.29,10
37,37,2944,1,22.22,92.04,10
38,38,37,1,22.22,7.06,10
39,39,4177,1,27.78,29.59,11
40,40,3203,1,11.18,15.23,3
41,41,2437,1,11.18,26.49,3
42,42,41,1,11.18,14.57,3
43,43,3752,1,11.18,14.35,3
44,44,920,1,11.18,20.75,11
45,45,4966,1,11.18,50.91,11
46,46,45,1,11.18,12.09,11
47,47,208,3,27.78,10.35,11
48,48,47,3,27.78,54.26,11
49,49,3056,1,11.18,11.8,10
50,50,49,1,11.18,19.52,10
51,51,4779,1,11.18,20.95,10
52,52,51,1,11.18,0.58,10
53,53,52,1,11.18,6.94,10
54,54,53,1,11.18,7.2,10
55,55,54,1,11.18,29.2,10
56,56,55,1,11.18,36.18,10
57,57,56,1,11.18,7.45,10
58,58,75,1,11.18,8.27,10
59,59,58,1,11.18,64.57,10
60,57,59,1,11.18,7.26,10
61,60,5444,1,11.18,7.5,10
62,61,60,1,11.18,64.87,10
63,62,61,1,11.18,6.56,10
64,63,62,2,22.22,8.06,10
65,64,63,2,22.22,35.75,10
66,65,64,1,22.22,29.61,10
67,66,65,1,22.22,6.91,10
68,67,66,1,22.22,7.23,10
69,68,67,1,22.22,64.77,10
70,69,68,1,22.22,8.28,10
71,70,69,2,11.18,6.87,10
72,71,70,2,11.18,33.75,10
73,72,71,1,11.18,31.94,10
74,73,72,1,11.18,6.78,10
75,74,5445,1,11.18,32.36,10
76,75,74,1,11.18,6.28,10
77,76,5445,1,11.18,33.88,10
78,77,76,1,11.18,6.82,10
79,73,5446,1,22.22,6.97,10
80,78,581,2,27.78,15.59,12
81,79,1109,1,13.89,28.84,3
82,80,79,1,13.89,10.56,3
83,81,1329,1,11.18,8.84,11
84,82,81,1,11.18,3.87,11
85,83,82,1,11.18,4.05,11
86,84,83,1,11.18,9.09,11
87,85,497,1,11.18,8.75,11
88,86,85,1,11.18,71.97,11
89,87,86,1,11.18,8.92,11
90,88,87,1,11.18,6.9,11
91,89,88,1,11.18,68.42,11
92,90,89,1,11.18,9.24,11
93,91,3545,3,11.18,7.88,12
94,92,91,3,11.18,59.88,12
95,93,92,3,11.18,6.41,12
96,94,93,3,11.18,7.79,12
97,95,94,3,11.18,60.01,12
98,96,95,3,11.18,7.400000000000001,12
99,97,4349,2,27.78,12.02,12
100,98,5694,1,13.89,56.43,3
101,99,98,1,13.89,8.21,3
102,100,5695,1,13.89,23.91,3
103,101,100,1,13.89,7.78,3
104,102,5707,1,13.89,22.43,3
105,103,3645,1,13.89,8.85,3
106,104,103,1,13.89,68.67,3
107,105,104,1,13.89,7.93,3
108,106,105,1,13.89,9.51,3
109,107,106,1,13.89,68.47,3
110,108,107,1,13.89,9.07,3
111,109,1107,1,13.89,8.34,3
112,110,3883,1,8.94,6.58,11
113,111,110,1,8.94,70.75,11
114,112,111,1,8.94,10.2,11
115,113,6075,1,11.18,8.75,3
116,114,113,1,11.18,44.43,3
117,115,3274,1,11.18,2.7,3
118,116,115,1,11.18,8.35,3
119,117,3847,1,11.18,13.34,3
120,118,117,1,11.18,3.53,3
121,119,2428,1,11.18,9.79,3
122,120,4865,1,8.94,7.05,11
123,121,120,1,8.94,62.83,11
124,122,121,1,8.94,7.13,11
125,123,8,1,8.94,7.33,11
126,124,123,1,8.94,32.77,11
127,125,3657,1,8.94,5.72,11
128,126,125,1,8.94,62.33,11
129,127,126,1,8.94,7.51,11
130,128,1568,1,11.18,58.96,10
131,129,128,1,11.18,11.36,10
132,130,6172,2,11.18,98.09,10
133,131,4856,2,11.18,5.9,3
134,132,2994,2,11.18,8.7,10
135,133,132,2,11.18,168.92,10
136,134,133,2,11.18,71.4,10
137,135,134,2,11.18,9.79,10
138,136,135,2,11.18,15.41,10
139,137,4552,2,11.18,59.71,11
140,138,137,2,11.18,16.5,11
141,139,6177,1,11.18,6.86,3
142,140,139,1,11.18,15.85,3
143,141,6178,1,22.22,7.65,6
144,142,6179,2,11.18,8.92,11
145,143,142,2,11.18,47.42,11
146,144,143,2,11.18,35.9,11
147,145,3923,3,11.18,13.02,11
148,146,145,3,11.18,34.67,11
149,147,150,1,11.18,33.05,11
150,148,147,1,11.18,10.83,11
151,149,146,2,11.18,42.25,11
152,150,149,1,11.18,13.7,11
153,151,148,2,11.18,17.11,11
154,152,151,3,11.18,11.31,11
155,153,152,3,11.18,35.71,11
156,154,153,1,11.18,45.24,11
157,155,158,2,11.18,10.59,11
158,156,155,2,11.18,50.71,11
159,157,154,1,11.18,45.17,11
160,158,157,1,11.18,10.57,11
161,159,156,1,11.18,34.25,11
162,160,159,1,11.18,45.17,11
163,161,160,1,11.18,14.17,11
164,162,161,1,11.18,13.1,11
165,163,162,1,11.18,46.77,11
166,164,163,1,11.18,83.93,11
167,165,164,1,11.18,59.99,11
168,166,165,1,11.18,12.01,11
169,167,166,2,11.18,14.17,11
170,168,167,2,11.18,42.71,11
171,169,3748,1,11.18,46.86,11
172,170,169,1,11.18,14.03,11
173,171,170,2,11.18,13.59,11
174,172,171,2,11.18,38.36,11
175,173,172,2,11.18,37.63,11
176,174,2946,1,11.18,50.48,11
177,175,174,1,11.18,11.98,11
178,176,175,3,11.18,12.449999999999998,11
179,177,176,3,11.18,34.9,11
180,178,177,3,11.18,4.05,11
181,179,1684,2,11.18,23.36,11
182,180,179,2,11.18,107.61,11
183,181,180,2,11.18,37.83,11
184,182,181,2,11.18,13.44,11
185,183,182,2,11.18,13.19,11
186,184,183,2,11.18,62.96,11
187,185,6180,2,11.18,10.42,11
188,186,185,2,11.18,94.54,11
189,187,186,2,11.18,37.27,11
190,188,187,2,11.18,13.98,11
191,189,6180,2,11.18,10.55,11
192,190,189,2,11.18,127.3,11
193,191,190,2,11.18,11.11,11
194,192,191,1,11.18,17.33,11
195,193,195,2,11.18,41.86,11
196,194,193,2,11.18,9.5,11
197,195,3215,2,11.18,26.35,11
198,196,4405,1,11.18,64.17,11
199,197,198,1,11.18,39.13,11
200,198,1863,1,11.18,41.36,11
201,199,6186,2,11.18,11.49,11
202,200,199,2,11.18,53.03,11
203,201,4233,2,11.18,33.78,11
204,202,201,2,11.18,10.3,11
205,203,2639,2,11.18,22.84,11
206,204,203,2,11.18,29.82,11
207,205,1867,3,11.18,59.91,11
208,206,3713,3,11.18,21.64,11
209,207,3806,1,27.78,63.97,11
210,208,207,1,27.78,10.76,11
211,209,6187,1,11.18,8.92,11
212,210,209,1,11.18,30.18,11
213,211,545,1,13.89,33.8,4
214,212,4862,1,11.18,48.14,12
215,213,212,1,11.18,8.42,12
216,214,401,1,11.18,29.95,12
217,215,214,1,11.18,5.5,12
218,216,215,1,11.18,81.44,12
219,217,216,1,11.18,5.76,12
220,218,217,2,11.18,25.21,12
221,219,218,2,11.18,47.16,12
222,220,219,2,11.18,46.85,12
223,221,220,2,11.18,69.9,12
224,222,221,2,11.18,176.94,12
225,223,222,2,11.18,8.75,12
226,224,489,1,11.18,35.54,12
227,225,728,1,11.18,36.96,11
228,226,225,1,11.18,10.34,11
229,227,2122,1,11.18,39.66,11
230,228,227,1,11.18,14.64,11
231,229,232,1,11.18,33.98,11
232,230,229,1,11.18,18.15,11
233,231,230,1,11.18,12.29,11
234,232,2126,1,11.18,68.94,11
235,233,3382,1,11.18,50.06,3
236,234,233,1,11.18,6.54,3
237,235,5309,2,11.18,10.88,3
238,236,235,2,11.18,41.46,3
239,237,3625,2,11.18,59.84,3
240,238,237,2,11.18,12.59,3
241,239,1111,2,11.18,55.16,3
242,238,239,2,11.18,13.37,3
243,240,6212,1,11.18,11.6,3
244,241,240,1,11.18,36.33,3
245,242,6212,2,11.18,12.01,3
246,243,242,2,11.18,37.19,3
247,244,1112,2,11.18,32.91,3
248,245,244,2,11.18,11.39,3
249,246,1803,2,11.18,12.02,3
250,247,246,2,11.18,22.18,3
251,248,2756,2,11.18,7.06,13
252,249,248,2,11.18,74.67,13
253,250,249,2,11.18,10.11,13
254,251,2665,2,11.18,19.63,11
255,252,251,2,11.18,7.05,11
256,253,252,2,11.18,7.3,11
257,254,253,2,11.18,16.67,11
258,255,797,2,11.18,43.78,11
259,256,255,2,11.18,15.25,11
260,257,260,1,11.18,46.67,11
261,258,257,1,11.18,13.55,11
262,259,3092,2,11.18,7.98,11
263,260,259,2,11.18,19.78,11
264,261,258,2,11.18,13.21,11
265,262,261,2,11.18,66.25,11
266,263,262,2,11.18,7.15,11
267,264,263,2,11.18,7.64,11
268,265,264,2,11.18,66.2,11
269,266,265,2,11.18,6.75,11
270,267,266,2,11.18,7.51,11
271,268,267,2,11.18,65.4,11
272,269,268,2,11.18,6.76,11
273,270,269,2,11.18,7.48,11
274,271,270,2,11.18,65.61,11
275,272,4629,1,11.18,8.04,10
276,273,4609,1,11.18,11.63,10
277,274,6304,1,11.18,114.09,11
