edge_id,node_start,node_end,lane_num,speed,length,priority
-1004369132#0,7480410399,42437990,1,11.18,8.96,11
-1004369132#1,9010154521,7480410399,1,11.18,23.0,11
-1004369132#2,42429637,9010154521,1,11.18,34.47,11
-1004369132#3,7480410410,42429637,1,11.18,5.97,11
-1007811374#0,7499263657,42445630,1,11.18,5.96,12
-1007811374#1,7499263656,7499263657,1,11.18,22.43,12
-1007837779#0,8309479332,42455175,1,8.94,7.18,11
-1007837779#1,8309479358,8309479332,1,8.94,62.9,11
-1007837779#2,42453158,8309479358,1,8.94,7.22,11
-1007837780#0,8309479409,42430938,1,8.94,7.52,11
-1007837780#1,8309479428,8309479409,1,8.94,60.37,11
-1007837780#2,42455013,8309479428,1,8.94,7.68,11
-1007837781#0,8309479427,42455013,1,8.94,6.76,11
-1007837781#1,8309479456,8309479427,1,8.94,65.79,11
-1007837781#2,42446571,8309479456,1,8.94,8.13,11
-1007846636,42437316,4281505674,1,22.22,9.76,10
-1010159653#0,5083818853,7816179466,2,11.18,30.3,4
-1010159653#1,272195271,5083818853,2,11.18,9.92,4
-1013655882#0,10743755758,42427735,1,22.22,6.64,10
-1013655882#1,10743755833,10743755758,1,22.22,65.86,10
-1013655882#10,10743755853,42444854,1,22.22,8.07,10
-1013655882#11,42434259,10743755853,1,22.22,78.21,10
-1013655882#12,42448655,42434259,1,22.22,84.65,10
-1013655882#13,42448661,42448655,1,22.22,79.12,10
-1013655882#14,42439210,42448661,1,22.22,79.13,10
-1013655882#15,42434338,42439210,1,22.22,79.49,10
-1013655882#16,42443582,42434338,1,22.22,79.07,10
-1013655882#17,10869707902,42443582,1,22.22,78.2,10
-1013655882#18,42448674,10869707902,1,22.22,8.81,10
-1013655882#2,42447399,10743755833,1,22.22,7.4,10
-1013655882#3,10743755832,42447399,1,22.22,8.45,10
-1013655882#4,10743755847,10743755832,1,22.22,64.4,10
-1013655882#5,42438291,10743755847,1,22.22,6.48,10
-1013655882#6,10743755848,42438291,1,22.22,8.29,10
-1013655882#7,42443658,10743755848,1,22.22,71.81,10
-1013655882#8,10743755854,42443658,1,22.22,71.92,10
-1013655882#9,42444854,10743755854,1,22.22,6.29,10
-1013655883#0,8835729561,3898480791,1,22.22,92.04,10
-1013655883#1,42427649,8835729561,1,22.22,7.06,10
-1014336157,42437324,595352889,1,27.78,29.59,11
-1015379881,246858433,4308240257,1,11.18,15.23,3
-1015679930#0,5836025488,42446849,1,11.18,26.49,3
-1015679930#1,42446854,5836025488,1,11.18,14.57,3
-1015679931,42445286,1702442163,1,11.18,14.35,3
-1016425694,4205820212,9374838670,1,11.18,20.75,11
-1020162350#0,6254630500,9178805724,1,11.18,50.91,11
-1020162350#1,42446138,6254630500,1,11.18,12.09,11
-1024634984#0,7075509770,42446086,3,27.78,10.35,11
-1024634984#1,9448174588,7075509770,3,27.78,54.26,11
-1027227117#0,3686061920,42439191,1,11.18,11.8,10
-1027227117#1,9140927083,3686061920,1,11.18,19.52,10
-1029634742#0,10166004086,9916138285,1,11.18,20.95,10
-1029634742#1,9916138281,10166004086,1,11.18,0.58,10
-1029634742#2,42431118,9916138281,1,11.18,6.94,10
-1029634742#3,9916138282,42431118,1,11.18,7.2,10
-1029634742#4,9492618964,9916138282,1,11.18,29.2,10
-1029634743#0,9916138286,9492618964,1,11.18,36.18,10
-1029634743#1,42431116,9916138286,1,11.18,7.45,10
-1029634744#0,9496980743,42431113,1,11.18,8.27,10
-1029634744#1,9916138289,9496980743,1,11.18,64.57,10
-1029634744#2,42431116,9916138289,1,11.18,7.26,10
-1030243868#0,7801775715,42431102,1,11.18,7.5,10
-1030243868#1,9496980741,7801775715,1,11.18,64.87,10
-1030243868#2,42431104,9496980741,1,11.18,6.56,10
-1030243869#0,9496980739,42431104,2,22.22,8.06,10
-1030243869#1,9496980731,9496980739,2,22.22,35.75,10
-1030243870#0,9496980735,9496980731,1,22.22,29.61,10
-1030243870#1,42431106,9496980735,1,22.22,6.91,10
-1030243871#0,9496980736,42431106,1,22.22,7.23,10
-1030243871#1,9916138295,9496980736,1,22.22,64.77,10
-1030243871#2,42431107,9916138295,1,22.22,8.28,10
-1030243872#0,9916138292,42431107,2,11.18,6.87,10
-1030243872#1,9496980732,9916138292,2,11.18,33.75,10
-1030243873#0,9916138291,9496980732,1,11.18,31.94,10
-1030243873#1,42431108,9916138291,1,11.18,6.78,10
-1030243874#0,6880029875,9496980733,1,11.18,32.36,10
-1030243874#1,42431113,6880029875,1,11.18,6.28,10
-1030243875#0,6880029851,9496980733,1,11.18,33.88,10
-1030243875#1,42431111,6880029851,1,11.18,6.82,10
-1030243877,42431108,6912871508,1,22.22,6.97,10
-1031982728,1764400297,42452485,2,27.78,15.59,12
-1033101550#0,9518268744,2340960702,1,13.89,28.84,3
-1033101550#1,1504153604,9518268744,1,13.89,10.56,3
-1038772919#0,3212472853,42437996,1,11.18,8.84,11
-1038772919#1,3212472646,3212472853,1,11.18,3.87,11
-1038772919#2,5804809463,3212472646,1,11.18,4.05,11
