from_edge,to_edge,direction
0,5169,r
0,5060,s
0,5165,t
1,0,s
2,1,s
3,2,s
4,21665,r
4,26220,s
4,5179,t
5,4,s
6,124,s
6,25779,l
6,5183,t
7,6,s
8,7,s
9,1465,r
9,129,s
9,8765,l
9,5186,t
10,9,s
11,10,s
12,18026,r
12,11,s
12,5189,t
13,12,s
14,13,s
15,1069,s
16,4803,s
17,16,s
17,16,s
18,10996,r
18,3942,s
18,19779,l
18,5198,t
19,18,s
20,11120,r
20,36,s
20,5200,t
21,20,s
22,8492,r
22,21,s
22,675,l
22,5202,t
23,22,s
23,23211,l
23,5203,t
24,22170,r
24,23,s
24,5204,t
25,24,s
25,21036,l
25,5205,t
26,20428,r
26,25,s
26,5206,t
27,26,s
27,21421,l
27,5207,t
28,27,s
29,19,s
30,11013,r
30,29,s
30,1390,l
30,5210,t
31,30,s
32,31,s
33,32,s
33,5213,t
34,33,s
35,21436,r
35,34,s
35,5215,t
36,35,s
37,3035,s
38,37,s
39,4365,s
39,5220,t
40,3308,s
41,2508,s
41,23500,l
41,5238,t
42,41,s
43,3911,s
44,932,s
45,23896,s
46,45,s
47,25507,r
47,210,s
47,5500,t
48,47,s
48,47,s
48,47,s
49,3153,r
49,11751,l
49,5640,t
50,49,s
51,5014,s
51,5014,s
52,51,s
53,52,s
54,53,s
54,28044,l
54,5710,t
55,54,s
56,55,s
57,56,s
58,8630,r
58,76,s
58,5714,t
59,58,s
60,59,s
61,9390,r
61,13435,s
61,5778,t
62,61,s
63,62,s
64,63,s
64,20298,l
64,5781,t
65,64,s
65,64,s
66,65,s
66,65,s
67,66,s
68,23078,r
68,67,s
68,5785,t
69,68,s
70,69,s
71,70,s
71,11479,l
71,5788,t
72,71,s
72,71,s
73,72,s
73,72,s
74,73,s
75,5794,s
75,5794,s
76,75,s
77,5792,s
77,5792,s
78,77,s
79,9394,s
80,23365,r
80,589,s
80,589,s
81,1125,s
82,81,s
83,1352,s
83,15907,l
83,5997,t
84,83,s
85,84,s
86,85,s
87,10091,r
87,505,s
87,25144,l
87,6018,t
88,87,s
89,88,s
90,21927,r
90,89,s
90,6021,t
91,90,s
92,91,s
93,3691,s
93,3691,s
93,3691,s
93,26885,l
93,6034,t
94,93,s
94,93,s
94,93,s
95,94,s
95,94,s
95,94,s
96,10812,r
96,95,s
96,95,s
96,95,s
96,6037,t
97,96,s
97,96,s
97,96,s
98,97,s
98,97,s
98,97,s
99,26013,r
99,4553,s
99,6068,t
100,6081,t
101,100,s
102,6083,t
103,102,s
104,9753,l
104,6096,t
105,6100,r
105,3798,s
105,6106,t
106,105,s
107,106,s
108,2291,r
108,107,s
108,15092,l
108,6109,t
109,108,s
110,109,s
111,1123,s
111,6130,l
111,6129,t
112,18023,r
112,4050,s
112,6274,t
113,112,s
114,113,s
115,25687,l
115,6501,t
116,115,s
117,3384,s
118,117,s
119,23982,r
119,4014,l
119,6516,t
120,119,s
121,2499,s
122,18056,r
122,5105,s
122,6610,t
123,122,s
124,123,s
125,3747,r
125,8,s
125,6613,t
126,125,s
127,22135,r
127,3810,s
127,6615,t
128,127,s
129,128,s
130,1598,s
131,130,s
132,11853,R
132,19739,s
132,6621,t
133,5096,s
133,16306,l
133,6624,t
134,18894,r
134,3089,s
134,3089,s
134,6626,t
135,134,s
135,134,s
136,135,s
136,135,s
137,136,s
137,136,s
138,137,s
138,137,s
138,13225,l
138,6630,t
139,4769,s
139,4769,s
140,139,s
140,139,s
141,20499,r
141,6634,t
142,141,s
143,16376,l
143,6636,t
