edge_id,lane_num,speed,length,edge_str
0.0,1.0,11.18,8.96,-1004369132#0
1.0,1.0,11.18,23.0,-1004369132#1
2.0,1.0,11.18,34.47,-1004369132#2
3.0,1.0,11.18,5.97,-1004369132#3
4.0,1.0,11.18,5.96,-1007811374#0
5.0,1.0,11.18,22.43,-1007811374#1
6.0,1.0,8.94,7.18,-1007837779#0
7.0,1.0,8.94,62.9,-1007837779#1
8.0,1.0,8.94,7.22,-1007837779#2
9.0,1.0,8.94,7.52,-1007837780#0
10.0,1.0,8.94,60.37,-1007837780#1
11.0,1.0,8.94,7.68,-1007837780#2
12.0,1.0,8.94,6.76,-1007837781#0
13.0,1.0,8.94,65.79,-1007837781#1
14.0,1.0,8.94,8.13,-1007837781#2
15.0,1.0,22.22,9.76,-1007846636
16.0,2.0,11.18,30.3,-1010159653#0
17.0,2.0,11.18,9.92,-1010159653#1
18.0,1.0,22.22,6.64,-1013655882#0
19.0,1.0,22.22,65.86,-1013655882#1
20.0,1.0,22.22,8.07,-1013655882#10
21.0,1.0,22.22,78.21,-1013655882#11
22.0,1.0,22.22,84.65,-1013655882#12
23.0,1.0,22.22,79.12,-1013655882#13
24.0,1.0,22.22,79.13,-1013655882#14
25.0,1.0,22.22,79.49,-1013655882#15
26.0,1.0,22.22,79.07,-1013655882#16
27.0,1.0,22.22,78.2,-1013655882#17
28.0,1.0,22.22,8.81,-1013655882#18
29.0,1.0,22.22,7.4,-1013655882#2
30.0,1.0,22.22,8.45,-1013655882#3
31.0,1.0,22.22,64.4,-1013655882#4
32.0,1.0,22.22,6.48,-1013655882#5
33.0,1.0,22.22,8.29,-1013655882#6
34.0,1.0,22.22,71.81,-1013655882#7
35.0,1.0,22.22,71.92,-1013655882#8
36.0,1.0,22.22,6.29,-1013655882#9
37.0,1.0,22.22,92.04,-1013655883#0
38.0,1.0,22.22,7.06,-1013655883#1
39.0,1.0,27.78,29.59,-1014336157
40.0,1.0,11.18,15.23,-1015379881
41.0,1.0,11.18,26.49,-1015679930#0
42.0,1.0,11.18,14.57,-1015679930#1
43.0,1.0,11.18,14.35,-1015679931
44.0,1.0,11.18,20.75,-1016425694
45.0,1.0,11.18,50.91,-1020162350#0
46.0,1.0,11.18,12.09,-1020162350#1
47.0,3.0,27.78,10.35,-1024634984#0
48.0,3.0,27.78,54.26,-1024634984#1
49.0,1.0,11.18,11.8,-1027227117#0
50.0,1.0,11.18,19.52,-1027227117#1
51.0,1.0,11.18,20.95,-1029634742#0
52.0,1.0,11.18,0.58,-1029634742#1
53.0,1.0,11.18,6.94,-1029634742#2
54.0,1.0,11.18,7.2,-1029634742#3
55.0,1.0,11.18,29.2,-1029634742#4
56.0,1.0,11.18,36.18,-1029634743#0
57.0,1.0,11.18,7.45,-1029634743#1
58.0,1.0,11.18,8.27,-1029634744#0
59.0,1.0,11.18,64.57,-1029634744#1
60.0,1.0,11.18,7.26,-1029634744#2
