scope,vehicleID,group,routeHash,routePreview,depart,modifiedSignals,firstModifiedSignal,firstModifiedSignalDepartState,cycleLength,offset
route,oversat_all_veh_004825,oversat_all,7a1449444338,-E3 -> -E15 -> -E16 -> -E17,58000.0,,,,,
route,oversat_all_veh_002607,oversat_all,55e9af98fb6e,-E4 -> -E15 -> -E16 -> -E18,58000.0,,,,,
route,oversat_all_veh_002521,oversat_all,160fb44579b4,-E5 -> -E13 -> E12 -> -E11 -> -E18,58000.0,J17;J21;J22,,,,
route,oversat_all_veh_001246,oversat_all,1acb8cba4d57,-E2 -> -E13 -> E12 -> -E11 -> -E17,58000.0,J17;J21;J22,,,,
route,oversat_all_veh_006347,oversat_all,346fa50c7560,-E19 -> -E16 -> E11 -> -E10,58000.0,J17,,,,
route,oversat_all_veh_006385,oversat_all,11c3be71c875,-E19 -> -E16 -> -E17,58000.0,,,,,
route,oversat_all_veh_002590,oversat_all,11b6fa0ab926,E10 -> -E12 -> E13 -> E5,58000.0,J17;J21;J22,,,,
route,oversat_all_veh_009338,oversat_all,bb0c3598f044,-E19 -> E15 -> E4,58000.0,,,,,
route,oversat_all_veh_001285,oversat_all,a9fb59fe185d,-E2 -> -E13 -> -E14,58000.0,J21;J22,,,,
route,oversat_all_veh_004825,ALL,7a1449444338,-E3 -> -E15 -> -E16 -> -E17,0.0,,,,,
route,oversat_all_veh_001641,oversat_all,529f6a3ed00c,E9 -> -E12 -> E20 -> E15 -> -E0 -> E5,58000.0,J17;J21;J22,,,,
route,oversat_all_veh_001329,oversat_all,0fc76bc3c2fc,-E2 -> -E13 -> E20 -> E19,58000.0,J21;J22,,,,
route,oversat_all_veh_002847,oversat_all,e3621f02f2a0,-E5 -> -E13 -> -E14,58000.0,J21;J22,,,,
route,oversat_all_veh_002607,ALL,55e9af98fb6e,-E4 -> -E15 -> -E16 -> -E18,0.0,,,,,
route,oversat_all_veh_004264,oversat_all,209c0f416794,E17 -> E11 -> -E12 -> E13 -> E5,58000.0,J17;J21;J22,,,,
route,oversat_all_veh_004263,oversat_all,3b4ce934fe24,E17 -> E11 -> -E12 -> -E14,58000.0,J17;J21,,,,
route,oversat_all_veh_001970,oversat_all,9ad069c9b349,E9 -> -E12 -> E13 -> E5,58000.0,J17;J21;J22,,,,
route,oversat_all_veh_003467,oversat_all,91530330da2b,-E4 -> -E0 -> -E13 -> -E14,58000.0,J21;J22,,,,
route,oversat_all_veh_003514,oversat_all,a8e523103c04,-E3 -> -E0 -> -E13 -> -E14,58000.0,J21;J22,,,,
route,oversat_all_veh_002850,oversat_all,8fec84d97ae3,-E5 -> -E13 -> E20 -> E19,58000.0,J21;J22,,,,
