group,departBinStart,departBinEnd,vehicleCount,meanPredDuration,meanTruthDuration,bias,MAE,RMSE,underCount,overCount,underCliffCount,overCliffCount,underNearCliffCount,overNearCliffCount,severeAbsErrorGt1000Count,topAbsErrorVehicleID
oversat_all,57900,58200,287,118.58536585365853,135.56794425087108,-16.982578397212542,26.125435540069688,60.428781475899555,246,35,0,0,1,0,0,oversat_all_veh_000283
oversat_all,58200,58500,410,133.82439024390243,298.31463414634146,-164.49024390243903,185.55853658536586,346.29900727409597,359,49,29,0,60,2,8,oversat_all_veh_000672
oversat_all,58500,58800,410,161.1219512195122,564.5487804878048,-403.4268292682927,460.6512195121951,761.4207948495157,370,39,98,7,142,10,70,oversat_all_veh_001082
oversat_all,58800,59100,410,188.7439024390244,703.4,-514.6560975609756,605.5,994.8296495919877,372,36,90,10,147,10,90,oversat_all_veh_001246
oversat_all,59100,59400,410,199.4512195121951,705.1414634146341,-505.690243902439,616.5292682926829,1103.4426250735778,374,35,103,10,144,16,88,oversat_all_veh_001910
oversat_all,59400,59700,410,202.71951219512195,806.7024390243903,-603.9829268292683,719.5195121951219,1377.4156173525946,371,37,102,10,152,20,95,oversat_all_veh_001951
oversat_all,59700,60000,410,206.34878048780487,800.5585365853658,-594.209756097561,720.0829268292683,1405.9821651715529,372,35,114,16,191,20,80,oversat_all_veh_002607
oversat_all,60000,60300,410,207.70731707317074,810.0707317073171,-602.3634146341464,732.3097560975609,1409.214769243375,367,41,97,20,191,20,78,oversat_all_veh_002812
oversat_all,60300,60600,410,207.3170731707317,812.9048780487805,-605.5878048780488,735.2658536585366,1252.5662292017078,363,43,125,20,190,20,95,oversat_all_veh_003181
oversat_all,60600,60900,410,207.46341463414635,555.4292682926829,-347.96585365853656,484.4,760.686176117711,345,63,82,20,127,20,65,oversat_all_veh_003591
oversat_all,60900,61200,410,207.70731707317074,572.3121951219512,-364.6048780487805,503.3414634146341,768.6442578475112,340,65,73,20,134,20,65,oversat_all_veh_004116
oversat_all,61200,61500,410,207.30975609756098,567.4707317073171,-360.1609756097561,497.2731707317073,796.7590357037752,346,60,71,20,131,20,54,oversat_all_veh_004743
oversat_all,61500,61800,410,198.05121951219513,617.0707317073171,-419.01951219512193,534.6975609756098,905.038821428497,352,54,70,20,108,20,75,oversat_all_veh_004825
oversat_all,61800,62100,410,179.88780487804877,644.8170731707318,-464.92926829268293,539.109756097561,942.3147226831203,353,55,83,12,112,15,75,oversat_all_veh_005358
oversat_all,62100,62400,410,170.84634146341463,572.2463414634146,-401.4,458.1512195121951,700.2993401779403,356,51,85,10,128,10,56,oversat_all_veh_005932
oversat_all,62400,62700,410,171.18048780487806,522.6463414634146,-351.46585365853656,410.56341463414634,646.8508460790407,344,64,68,10,116,10,42,oversat_all_veh_006219
oversat_all,62700,63000,410,171.23170731707316,447.31463414634146,-276.0829268292683,337.5658536585366,509.7213873116634,344,64,53,10,91,10,28,oversat_all_veh_006793
oversat_all,63000,63300,410,170.8439024390244,419.3609756097561,-248.51707317073172,307.22439024390246,476.64798587534636,348,54,34,10,85,10,15,oversat_all_veh_006875
oversat_all,63300,63600,410,171.18048780487806,382.33170731707315,-211.15121951219513,270.9512195121951,487.5484716365358,345,61,16,10,55,10,10,oversat_all_veh_007572
oversat_all,63600,63900,410,171.23170731707316,361.4878048780488,-190.2560975609756,243.05121951219513,516.8992424344113,360,47,15,10,31,10,10,oversat_all_veh_007982
oversat_all,63900,64200,410,170.8439024390244,375.3780487804878,-204.5341463414634,260.0073170731707,544.5020347562152,351,56,30,10,41,10,15,oversat_all_veh_008433
oversat_all,64200,64500,410,171.18048780487806,360.9341463414634,-189.75365853658536,250.61219512195123,475.85678569061605,349,60,37,10,42,10,20,oversat_all_veh_008802
oversat_all,64500,64800,410,170.99268292682927,383.15365853658534,-212.1609756097561,274.3121951219512,573.3401323098473,343,65,23,10,43,10,20,oversat_all_veh_009171
oversat_all,64800,65100,410,154.58536585365854,407.2878048780488,-252.70243902439023,301.0487804878049,646.8410669195785,367,40,20,3,38,10,20,oversat_all_veh_009581
oversat_all,65100,65400,410,137.20243902439023,427.8219512195122,-290.61951219512196,316.5317073170732,705.0954130211135,369,39,40,0,51,1,26,oversat_all_veh_009950
oversat_all,65400,65700,410,131.18780487804878,379.51463414634145,-248.32682926829267,259.5853658536585,577.7203349076901,369,41,34,0,51,0,24,oversat_all_veh_010196
