group,vehicleCount,MAE,bias,underCliffCount,overCliffCount,modifiedSignalExposureRate,avgModifiedSignalCount,pctVehiclesExposedToJ17,pctVehiclesExposedToJ21,pctVehiclesExposedToJ22
ALL,47623,136.86174747495957,-116.9402809566806,1776,278,0.8157192952984902,1.4852907208701678,0.4694160384688071,0.5207777754446381,0.4950969069567226
east_bottleneck,2672,7.734281437125748,-7.734281437125748,0,0,0.75,1.375,0.125,0.5,0.75
free_all,2050,7.064878048780487,-6.598536585365854,0,0,0.8048780487804879,1.4634146341463414,0.4634146341463415,0.5121951219512195,0.4878048780487805
heavy_all,8241,10.56789224608664,-6.927557335274845,0,0,0.8048780487804879,1.4634146341463414,0.4634146341463415,0.5121951219512195,0.4878048780487805
light_all_seed1,4018,11.556495769039323,-10.242409158785465,0,0,0.8048780487804879,1.4634146341463414,0.4634146341463415,0.5121951219512195,0.4878048780487805
light_all_seed2,3280,12.0875,-9.00030487804878,0,0,0.8048780487804879,1.4634146341463414,0.4634146341463415,0.5121951219512195,0.4878048780487805
medium_core,2646,7.233938019652306,-6.50755857898715,0,0,1.0,1.8571428571428572,0.5714285714285714,0.6666666666666666,0.6190476190476191
north_bottleneck,2672,50.48278443113772,-50.23053892215569,0,0,1.0,1.875,0.25,0.875,0.75
oversat_all,13694,382.241054476413,-318.3707463122535,1776,278,0.8048780487804879,1.4634146341463414,0.4634146341463415,0.5121951219512195,0.4878048780487805
south_bottleneck,2672,6.077844311377246,-5.702844311377246,0,0,0.5,0.75,0.125,0.25,0.375
southwest_bottleneck,2672,171.34917664670658,-170.1747754491018,0,0,0.75,1.5,0.75,0.5,0.25
west_bottleneck,3006,148.67664670658684,-141.69660678642714,0,0,1.0,1.7777777777777777,1.0,0.4444444444444444,0.3333333333333333
