group,departBinStart,departBinEnd,vehicleCount,meanPredDuration,meanTruthDuration,bias,MAE,RMSE,underCount,overCount,underCliffCount,overCliffCount,underNearCliffCount,overNearCliffCount,severeAbsErrorGt1000Count,topAbsErrorVehicleID
southwest_bottleneck,117900,118200,56,125.98214285714286,153.25,-27.267857142857142,28.482142857142858,50.360308917695434,49,7,0,0,0,0,0,southwest_bottleneck_veh_000028
southwest_bottleneck,118200,118500,80,130.1375,206.55,-76.4125,77.3875,104.14611130522349,69,10,0,0,0,0,0,southwest_bottleneck_veh_000120
southwest_bottleneck,118500,118800,80,127.5,249.9125,-122.4125,123.5625,154.07210162777687,69,10,0,0,0,0,0,southwest_bottleneck_veh_000215
southwest_bottleneck,118800,119100,80,127.8625,279.6625,-151.8,152.65,183.69152130678214,68,10,0,0,0,0,0,southwest_bottleneck_veh_000268
southwest_bottleneck,119100,119400,80,130.1375,302.8125,-172.675,175.325,210.70204080644305,67,12,0,0,0,0,0,southwest_bottleneck_veh_000363
southwest_bottleneck,119400,119700,80,127.5,311.675,-184.175,184.725,220.99734161297053,69,8,0,0,0,0,0,southwest_bottleneck_veh_000412
southwest_bottleneck,119700,120000,80,127.8625,307.7625,-179.9,180.5,215.39475388226148,68,9,0,0,0,0,0,southwest_bottleneck_veh_000459
southwest_bottleneck,120000,120300,80,130.1375,313.2375,-183.1,184.075,220.72131750241073,70,9,0,0,0,0,0,southwest_bottleneck_veh_000580
southwest_bottleneck,120300,120600,80,127.5,307.05,-179.55,181.925,218.12009306801608,67,12,0,0,0,0,0,southwest_bottleneck_veh_000651
southwest_bottleneck,120600,120900,80,127.8625,306.125,-178.2625,178.8125,212.25889262878954,71,7,0,0,0,0,0,southwest_bottleneck_veh_000716
southwest_bottleneck,120900,121200,80,130.1375,308.4,-178.2625,179.3125,216.61801056237223,70,10,0,0,0,0,0,southwest_bottleneck_veh_000844
southwest_bottleneck,121200,121500,80,127.5,309.2375,-181.7375,182.5125,215.99707752652583,68,9,0,0,0,0,0,southwest_bottleneck_veh_000867
southwest_bottleneck,121500,121800,80,127.8625,297.475,-169.6125,170.4375,202.2808999881106,69,10,0,0,0,0,0,southwest_bottleneck_veh_001012
southwest_bottleneck,121800,122100,80,130.1375,302.225,-172.0875,174.6875,206.69080168212614,68,11,0,0,0,0,0,southwest_bottleneck_veh_001036
southwest_bottleneck,122100,122400,80,127.5,317.5125,-190.0125,190.7625,226.9240236290552,69,9,0,0,0,0,0,southwest_bottleneck_veh_001132
southwest_bottleneck,122400,122700,80,127.8625,306.0625,-178.2,179.25,214.28555714279952,70,9,0,0,0,0,0,southwest_bottleneck_veh_001204
southwest_bottleneck,122700,123000,80,130.1375,294.075,-163.9375,164.6625,195.29288901544777,67,11,0,0,0,0,0,southwest_bottleneck_veh_001300
southwest_bottleneck,123000,123300,80,127.5,302.8875,-175.3875,176.4875,207.4858127680059,68,10,0,0,0,0,0,southwest_bottleneck_veh_001372
southwest_bottleneck,123300,123600,80,127.8625,299.475,-171.6125,172.5625,205.37992233906408,70,10,0,0,0,0,0,southwest_bottleneck_veh_001492
southwest_bottleneck,123600,123900,80,130.1375,296.675,-166.5375,169.0125,202.91516084314645,66,10,0,0,0,0,0,southwest_bottleneck_veh_001564
southwest_bottleneck,123900,124200,80,127.5,315.3625,-187.8625,188.8875,223.16655775451662,68,11,0,0,0,0,0,southwest_bottleneck_veh_001603
southwest_bottleneck,124200,124500,80,127.8625,311.6125,-183.75,184.8,218.78813953228817,70,10,0,0,0,0,0,southwest_bottleneck_veh_001676
southwest_bottleneck,124500,124800,80,130.1375,304.7125,-174.575,175.525,207.3195600998613,68,10,0,0,0,0,0,southwest_bottleneck_veh_001780
southwest_bottleneck,124800,125100,80,127.5,301.35,-173.85,174.5,208.15276841781375,69,9,0,0,0,0,0,southwest_bottleneck_veh_001828
southwest_bottleneck,125100,125400,80,127.8625,315.3625,-187.5,188.525,226.41742424115685,67,12,0,0,0,0,0,southwest_bottleneck_veh_001924
southwest_bottleneck,125400,125700,80,130.1375,309.55,-179.4125,180.3375,215.24390235265668,69,10,0,0,0,0,0,southwest_bottleneck_veh_002044
southwest_bottleneck,125700,126000,80,127.5,323.8125,-196.3125,197.1625,238.98679356818025,70,9,0,0,1,0,0,southwest_bottleneck_veh_002067
southwest_bottleneck,126000,126300,80,127.8625,310.3625,-182.5,183.125,216.41511037818037,72,7,0,0,0,0,0,southwest_bottleneck_veh_002140
southwest_bottleneck,126300,126600,80,130.1375,309.475,-179.3375,180.3125,215.51342765591195,69,11,0,0,0,0,0,southwest_bottleneck_veh_002259
southwest_bottleneck,126600,126900,80,127.5,313.0625,-185.5625,186.2375,219.99605110092315,70,8,0,0,0,0,0,southwest_bottleneck_veh_002348
southwest_bottleneck,126900,127200,80,127.8625,306.625,-178.7625,179.7625,217.7482204290083,70,8,0,0,0,0,0,southwest_bottleneck_veh_002427
southwest_bottleneck,127200,127500,80,130.1375,299.9,-169.7625,174.0625,207.13072562997505,67,13,0,0,0,0,0,southwest_bottleneck_veh_002492
southwest_bottleneck,127500,127800,80,127.5,309.9875,-182.4875,183.4375,217.6640473298243,68,11,0,0,0,0,0,southwest_bottleneck_veh_002595
southwest_bottleneck,127800,128100,56,127.19642857142857,309.19642857142856,-182.0,182.57142857142858,216.8841856844339,48,6,0,0,0,0,0,southwest_bottleneck_veh_002644
