group,routeHash,routePreview,firstEdge,lastEdge,edgeCount,vehicleCount,meanPredDuration,meanTruthDuration,bias,MAE,RMSE,medianAbsError,p90AbsError,p95AbsError,maxAbsError,underCount,overCount,underCliffCount,overCliffCount,underNearCliffCount,overNearCliffCount,severeAbsErrorGt1000Count,topAbsErrorVehicleID,topAbsErrorPredDuration,topAbsErrorTruthDuration,topAbsErrorSignedError,departMin,departMax,exposedModifiedSignals,modifiedSignalExposureRate
oversat_all,7a1449444338,-E3 -> -E15 -> -E16 -> -E17,-E3,-E17,4,334,95.05089820359281,1758.6077844311378,-1663.556886227545,1663.8562874251497,2016.9342909801837,1657.0,3220.0,3470.0,4567.0,320,13,246,0,249,0,232,oversat_all_veh_004825,124.0,4691.0,-4567.0,58000.0,67990.0,,0.0
oversat_all,55e9af98fb6e,-E4 -> -E15 -> -E16 -> -E18,-E4,-E18,4,334,72.90718562874251,1495.6646706586826,-1422.7574850299402,1422.7574850299402,2636.614077451073,475.0,6030.0,7375.0,8240.0,334,0,67,0,133,0,65,oversat_all_veh_002607,44.0,8284.0,-8240.0,58000.0,67990.0,,0.0
oversat_all,160fb44579b4,-E5 -> -E13 -> E12 -> -E11 -> -E18,-E5,-E18,5,334,215.67365269461078,1501.4520958083833,-1285.7784431137725,1285.7964071856288,1571.4086666442915,1130.5,2629.0,2874.0,3435.0,332,2,208,0,263,0,182,oversat_all_veh_002521,218.0,3653.0,-3435.0,58000.0,67990.0,J17;J21;J22,1.0
oversat_all,1acb8cba4d57,-E2 -> -E13 -> E12 -> -E11 -> -E17,-E2,-E17,5,334,149.99401197604791,1149.7095808383233,-999.7155688622754,999.7155688622754,1423.281092708772,429.0,2614.0,2942.0,3817.0,334,0,135,0,165,0,120,oversat_all_veh_001246,150.0,3967.0,-3817.0,58000.0,67990.0,J17;J21;J22,1.0
oversat_all,346fa50c7560,-E19 -> -E16 -> E11 -> -E10,-E19,-E10,4,334,85.0688622754491,996.8892215568862,-911.8203592814372,911.8203592814372,996.16626501047,848.0,1572.0,1687.0,2000.0,334,0,197,0,297,0,100,oversat_all_veh_006347,85.0,2085.0,-2000.0,58000.0,67990.0,J17,1.0
oversat_all,11c3be71c875,-E19 -> -E16 -> -E17,-E19,-E17,3,334,76.10479041916167,696.251497005988,-620.1467065868263,620.1467065868263,725.4157820768911,544.0,1265.0,1358.0,1686.0,334,0,94,0,173,0,60,oversat_all_veh_006385,47.0,1733.0,-1686.0,58000.0,67990.0,,0.0
oversat_all,11b6fa0ab926,E10 -> -E12 -> E13 -> E5,E10,E5,4,334,799.6167664670659,201.2994011976048,598.3173652694611,610.3473053892216,909.329117049362,192.5,1687.0,1714.0,1743.0,30,304,0,109,0,117,102,oversat_all_veh_002590,1851.0,108.0,1743.0,58000.0,67990.0,J17;J21;J22,1.0
oversat_all,bb0c3598f044,-E19 -> E15 -> E4,-E19,E4,3,334,647.4011976047905,84.8443113772455,562.556886227545,562.6646706586827,664.2876198727232,824.0,900.0,906.0,988.0,4,328,0,169,0,197,0,oversat_all_veh_009338,1043.0,55.0,988.0,58000.0,67990.0,,0.0
oversat_all,a9fb59fe185d,-E2 -> -E13 -> -E14,-E2,-E14,3,334,65.88922155688623,589.6706586826348,-523.7814371257485,523.7814371257485,777.0550096511521,142.5,1355.0,1627.0,2751.0,333,0,97,0,130,0,70,oversat_all_veh_001285,37.0,2788.0,-2751.0,58000.0,67990.0,J21;J22,1.0
ALL,7a1449444338,-E3 -> -E15 -> -E16 -> -E17,-E3,-E17,4,1097,86.62989972652689,595.5205104831358,-508.8906107566089,509.4412032816773,1112.939731906027,5.0,2368.0,2827.0,4567.0,923,99,246,0,249,0,232,oversat_all_veh_004825,124.0,4691.0,-4567.0,0.0,115990.0,,0.0
