vehicleID,group,depart,predDuration,truthDuration,durationError,absDurationError,relativeDurationError,truthArrival,predArrival,truthWaitingTime,truthTimeLoss,routeHash,routePreview,firstEdge,lastEdge,edgeCount,exposedModifiedSignals,exposedAllSignals,modifiedSignalCount,firstModifiedSignal,candidateCauseLabel
oversat_all_veh_002590,oversat_all,59890.0,1851.0,108.0,1743.0,1743.0,16.1389,59998.0,63403.0,48.0,69.64,11b6fa0ab926,E10 -> -E12 -> E13 -> E5,E10,E5,4,J17;J21;J22,J17;J21;J22,3,J17,oversat_over_cliff_false_blocking
oversat_all_veh_003082,oversat_all,60250.0,1851.0,109.0,1742.0,1742.0,15.9817,60359.0,64483.0,45.0,67.2,11b6fa0ab926,E10 -> -E12 -> E13 -> E5,E10,E5,4,J17;J21;J22,J17;J21;J22,3,J17,oversat_over_cliff_false_blocking
oversat_all_veh_004189,oversat_all,61060.0,1851.0,109.0,1742.0,1742.0,15.9817,61169.0,66913.0,47.0,71.91,11b6fa0ab926,E10 -> -E12 -> E13 -> E5,E10,E5,4,J17;J21;J22,J17;J21;J22,3,J17,oversat_over_cliff_false_blocking
oversat_all_veh_002713,oversat_all,59980.0,1851.0,112.0,1739.0,1739.0,15.5268,60092.0,63673.0,47.0,74.52,11b6fa0ab926,E10 -> -E12 -> E13 -> E5,E10,E5,4,J17;J21;J22,J17;J21;J22,3,J17,oversat_over_cliff_false_blocking
oversat_all_veh_004681,oversat_all,61420.0,1851.0,112.0,1739.0,1739.0,15.5268,61532.0,67993.0,46.0,74.51,11b6fa0ab926,E10 -> -E12 -> E13 -> E5,E10,E5,4,J17;J21;J22,J17;J21;J22,3,J17,oversat_over_cliff_false_blocking
oversat_all_veh_002959,oversat_all,60160.0,1851.0,113.0,1738.0,1738.0,15.3805,60273.0,64213.0,44.0,70.62,11b6fa0ab926,E10 -> -E12 -> E13 -> E5,E10,E5,4,J17;J21;J22,J17;J21;J22,3,J17,oversat_over_cliff_false_blocking
oversat_all_veh_003205,oversat_all,60340.0,1851.0,114.0,1737.0,1737.0,15.2368,60454.0,64753.0,46.0,76.45,11b6fa0ab926,E10 -> -E12 -> E13 -> E5,E10,E5,4,J17;J21;J22,J17;J21;J22,3,J17,oversat_over_cliff_false_blocking
oversat_all_veh_004312,oversat_all,61150.0,1851.0,114.0,1737.0,1737.0,15.2368,61264.0,67183.0,48.0,76.87,11b6fa0ab926,E10 -> -E12 -> E13 -> E5,E10,E5,4,J17;J21;J22,J17;J21;J22,3,J17,oversat_over_cliff_false_blocking
oversat_all_veh_002549,oversat_all,59860.0,1851.0,134.0,1717.0,1717.0,12.8134,59994.0,63313.0,76.0,97.05,11b6fa0ab926,E10 -> -E12 -> E13 -> E5,E10,E5,4,J17;J21;J22,J17;J21;J22,3,J17,oversat_over_cliff_false_blocking
oversat_all_veh_002795,oversat_all,60040.0,1851.0,134.0,1717.0,1717.0,12.8134,60174.0,63853.0,77.0,95.29,11b6fa0ab926,E10 -> -E12 -> E13 -> E5,E10,E5,4,J17;J21;J22,J17;J21;J22,3,J17,oversat_over_cliff_false_blocking
