group,routeHash,routePreview,firstEdge,lastEdge,edgeCount,vehicleCount,meanPredDuration,meanTruthDuration,bias,MAE,RMSE,medianAbsError,p90AbsError,p95AbsError,maxAbsError,underCount,overCount,underCliffCount,overCliffCount,underNearCliffCount,overNearCliffCount,severeAbsErrorGt1000Count,topAbsErrorVehicleID,topAbsErrorPredDuration,topAbsErrorTruthDuration,topAbsErrorSignedError,departMin,departMax,exposedModifiedSignals,modifiedSignalExposureRate
ALL,7a1449444338,-E3 -> -E15 -> -E16 -> -E17,-E3,-E17,4,1097,86.62989972652689,595.5205104831358,-508.8906107566089,509.4412032816773,1112.939731906027,5.0,2368.0,2827.0,4567.0,923,99,246,0,249,0,232,oversat_all_veh_004825,124.0,4691.0,-4567.0,0.0,115990.0,,0.0
ALL,55e9af98fb6e,-E4 -> -E15 -> -E16 -> -E18,-E4,-E18,4,1097,72.29808568824066,510.98541476754787,-438.6873290793072,438.6873290793072,1454.8984433289816,7.0,573.0,3155.0,8240.0,1097,0,67,0,133,0,65,oversat_all_veh_002607,44.0,8284.0,-8240.0,0.0,103990.0,,0.0
ALL,160fb44579b4,-E5 -> -E13 -> E12 -> -E11 -> -E18,-E5,-E18,5,1223,205.448896156991,561.0719542109566,-355.6230580539657,355.6852003270646,821.2433800577235,6.0,1611.0,2230.0,3435.0,1179,22,208,0,263,0,182,oversat_all_veh_002521,218.0,3653.0,-3435.0,0.0,103990.0,J17;J21;J22,1.0
ALL,1acb8cba4d57,-E2 -> -E13 -> E12 -> -E11 -> -E17,-E2,-E17,5,1223,150.45134914145544,458.61161079313166,-308.1602616516762,308.1602616516762,746.5777412928605,90.0,904.0,2189.0,3817.0,1222,0,135,0,165,0,120,oversat_all_veh_001246,150.0,3967.0,-3817.0,0.0,91990.0,J17;J21;J22,1.0
ALL,346fa50c7560,-E19 -> -E16 -> E11 -> -E10,-E19,-E10,4,1097,80.21330902461258,364.9361896080219,-284.7228805834093,284.7228805834093,549.9525139026621,8.0,960.0,1403.0,2000.0,1097,0,197,0,297,0,100,oversat_all_veh_006347,85.0,2085.0,-2000.0,0.0,115990.0,J17,1.0
ALL,209c0f416794,E17 -> E11 -> -E12 -> E13 -> E5,E17,E5,5,1097,200.8359161349134,401.9270738377393,-201.09115770282588,201.09115770282588,300.87934480057083,184.0,544.0,715.0,1059.0,1097,0,76,0,159,0,5,oversat_all_veh_004264,239.0,1298.0,-1059.0,0.0,127990.0,J17;J21;J22,1.0
ALL,11c3be71c875,-E19 -> -E16 -> -E17,-E19,-E17,3,1097,75.25797629899726,266.18231540565176,-190.92433910665451,191.9270738377393,400.3679938979019,5.0,712.0,1042.0,1686.0,746,286,94,0,173,0,60,oversat_all_veh_006385,47.0,1733.0,-1686.0,0.0,115990.0,,0.0
ALL,3b4ce934fe24,E17 -> E11 -> -E12 -> -E14,E17,-E14,4,1097,172.359161349134,360.0173199635369,-187.6581586144029,187.6581586144029,275.4058760012344,185.0,488.0,616.0,958.0,1096,0,32,0,135,0,0,oversat_all_veh_004263,140.0,1098.0,-958.0,0.0,127990.0,J17;J21,1.0
ALL,11b6fa0ab926,E10 -> -E12 -> E13 -> E5,E10,E5,4,1223,301.5560098119379,141.46688470973018,160.08912510220767,187.13082583810302,477.6266250619946,14.0,332.0,1632.0,1743.0,858,365,0,109,0,117,102,oversat_all_veh_002590,1851.0,108.0,1743.0,0.0,79990.0,J17;J21;J22,1.0
ALL,4130f8916f02,E18 -> E11 -> -E12 -> E13 -> E5,E18,E5,5,1097,236.67912488605288,408.93983591613494,-172.26071103008204,185.77757520510482,319.59307536226083,93.0,370.0,699.0,1676.0,980,117,34,0,69,0,31,oversat_all_veh_003112,502.0,2178.0,-1676.0,0.0,127990.0,J17;J21;J22,1.0
ALL,529f6a3ed00c,E9 -> -E12 -> E20 -> E15 -> -E0 -> E5,E9,E5,6,1223,140.11447260834015,324.12019623875716,-184.005723630417,184.005723630417,403.83397756885716,96.0,371.0,892.0,2633.0,1223,0,68,0,85,0,54,oversat_all_veh_001641,112.0,2745.0,-2633.0,0.0,79990.0,J17;J21;J22,1.0
