route_id,origin_edge,destination_edge,origin_boundary_node,destination_boundary_node,probability,candidate_rank,candidate_count_for_od,edge_count,shortest_edge_count,detour_edges,controlled_movement_count,internal_edge_count,edges
train_balanced_od_001,-E19,-E10,J28,J19,0.011111111111,1,3,4,4,0,3,2,-E19 -E16 E11 -E10
train_balanced_od_002,-E19,-E14,J28,J23,0.011111111111,1,3,3,3,0,2,1,-E19 -E20 -E14
train_balanced_od_003,-E19,-E17,J28,J26,0.011111111111,1,2,3,3,0,2,1,-E19 -E16 -E17
train_balanced_od_004,-E19,-E18,J28,J27,0.011111111111,1,2,3,3,0,2,1,-E19 -E16 -E18
train_balanced_od_005,-E19,-E9,J28,J16,0.011111111111,2,3,4,4,0,3,2,-E19 -E20 E12 -E9
train_balanced_od_006,-E19,E2,J28,J1,0.011111111111,2,3,4,4,0,3,2,-E19 E15 -E0 E2
train_balanced_od_007,-E19,E3,J28,J2,0.011111111111,1,2,3,3,0,2,1,-E19 E15 E3
train_balanced_od_008,-E19,E4,J28,J3,0.011111111111,1,2,3,3,0,2,1,-E19 E15 E4
train_balanced_od_009,-E19,E5,J28,J4,0.011111111111,1,3,4,4,0,3,2,-E19 -E20 E13 E5
train_balanced_od_010,-E2,-E10,J1,J19,0.011111111111,1,4,4,4,0,3,2,-E2 -E13 E12 -E10
train_balanced_od_011,-E2,-E14,J1,J23,0.011111111111,1,2,3,3,0,2,1,-E2 -E13 -E14
train_balanced_od_012,-E2,-E17,J1,J26,0.011111111111,3,4,5,5,0,4,3,-E2 E0 -E15 -E16 -E17
train_balanced_od_013,-E2,-E18,J1,J27,0.011111111111,1,4,5,5,0,4,3,-E2 -E13 E12 -E11 -E18
train_balanced_od_014,-E2,-E9,J1,J16,0.011111111111,1,4,4,4,0,3,2,-E2 -E13 E12 -E9
train_balanced_od_015,-E2,E19,J1,J28,0.011111111111,2,3,4,4,0,3,2,-E2 E0 -E15 E19
train_balanced_od_016,-E2,E3,J1,J2,0.011111111111,1,2,3,3,0,2,1,-E2 E0 E3
train_balanced_od_017,-E2,E4,J1,J3,0.011111111111,1,2,3,3,0,2,1,-E2 E0 E4
train_balanced_od_018,-E2,E5,J1,J4,0.011111111111,1,1,2,2,0,1,0,-E2 E5
train_balanced_od_019,-E3,-E10,J2,J19,0.011111111111,1,4,5,5,0,4,3,-E3 -E0 -E13 E12 -E10
train_balanced_od_020,-E3,-E14,J2,J23,0.011111111111,1,3,4,4,0,3,2,-E3 -E0 -E13 -E14
